loteria,fecha,numero,serie
boyaca,2022-12-03 00:00:00,0400,310
boyaca,2022-11-26 00:00:00,5307,346
boyaca,2022-11-19 00:00:00,8219,040
boyaca,2022-11-12 00:00:00,3579,017
boyaca,2022-11-05 00:00:00,5596,161
boyaca,2022-10-29 00:00:00,4513,131
boyaca,2022-10-22 00:00:00,4457,263
boyaca,2022-10-15 00:00:00,8975,158
boyaca,2022-10-08 00:00:00,7361,141
boyaca,2022-10-01 00:00:00,4004,238
boyaca,2022-09-24 00:00:00,9359,036
boyaca,2022-09-17 00:00:00,0840,298
boyaca,2022-09-10 00:00:00,0575,276
boyaca,2022-09-03 00:00:00,7240,112
boyaca,2022-08-27 00:00:00,5526,352
boyaca,2022-08-20 00:00:00,3177,051
boyaca,2022-08-13 00:00:00,8312,110
boyaca,2022-08-06 00:00:00,6876,327
boyaca,2022-07-30 00:00:00,7252,197
boyaca,2022-07-23 00:00:00,7981,353
boyaca,2022-07-16 00:00:00,7206,263
boyaca,2022-07-09 00:00:00,9739,259
boyaca,2022-07-02 00:00:00,8693,100
boyaca,2022-06-25 00:00:00,0229,129
boyaca,2022-06-18 00:00:00,3747,009
boyaca,2022-06-11 00:00:00,2637,339
boyaca,2022-06-04 00:00:00,1336,102
boyaca,2022-05-28 00:00:00,0278,349
boyaca,2022-05-21 00:00:00,9437,057
boyaca,2022-05-14 00:00:00,5481,366
boyaca,2022-05-07 00:00:00,7776,233
boyaca,2022-04-30 00:00:00,7985,188
boyaca,2022-04-23 00:00:00,4634,325
boyaca,2022-04-16 00:00:00,1473,191
boyaca,2022-04-09 00:00:00,6944,394
boyaca,2022-04-02 00:00:00,6819,196
boyaca,2022-03-26 00:00:00,2008,229
boyaca,2022-03-19 00:00:00,7277,264
